name,flat_slab_size_min,flat_slab_size_max,reference_frame,age_min,age_max,trench_motion_mean,trench_motion_std,slab_bend_motion,flat_slab_size,State,contribution_trench,contribution_hinge
(6) Alaska,460,460,M2015,0,30,142.33333333333334,1.247219128924647,-317.66666666666663,460,Active,30.942028985507246,69.05797101449275
(6) Alaska,460,460,M2019,0,30,149.66666666666666,4.496912521077347,-310.33333333333337,460,Active,32.53623188405797,67.46376811594203
(6) Alaska,460,460,V2010,0,30,35.0,9.93310961716756,-425.0,460,Active,7.608695652173914,92.3913043478261
(6) Alaska,460,460,D2012,0,30,174.33333333333334,3.0912061651652345,-285.66666666666663,460,Active,37.89855072463768,62.101449275362306
(7) Laramide,1400,1400,M2019,50,95,1699.6666666666667,56.75874871379351,299.66666666666674,1400,Ancient,100.0,0.0
(7) Laramide,1400,1400,V2010,50,95,808.0,45.985504962614755,-592.0,1400,Ancient,57.714285714285715,42.285714285714285
(7) Laramide,1400,1400,D2012,50,95,1943.3333333333333,102.74023338281629,543.3333333333333,1400,Ancient,100.0,0.0
(8) Puna ,450,750,D2012,18,30,192.0,51.749396131742444,-558.0,750,Ancient,25.6,74.4
(8) Puna ,450,750,M2015,18,30,147.33333333333334,49.81521409725703,-602.6666666666666,750,Ancient,19.644444444444446,80.35555555555554
(8) Puna ,450,750,M2019,18,30,60.666666666666664,26.411277052720408,-689.3333333333334,750,Ancient,8.088888888888889,91.91111111111113
(8) Puna ,450,750,V2010,18,30,87.66666666666667,51.44792404838984,-662.3333333333334,750,Ancient,11.688888888888888,88.31111111111112
(9) Altiplano,450,700,D2012,25,50,249.66666666666666,24.499433100017278,-450.33333333333337,700,Ancient,35.666666666666664,64.33333333333334
(9) Altiplano,450,700,M2015,25,50,152.33333333333334,18.90913947157711,-547.6666666666666,700,Ancient,21.761904761904763,78.23809523809523
(9) Altiplano,450,700,V2010,25,50,-85.0,40.2077936060494,-785.0,700,Ancient,0.0,100.0
(9) Altiplano,450,700,M2019,25,50,99.66666666666667,1.247219128924647,-600.3333333333334,700,Ancient,14.238095238095239,85.76190476190477
(10) Izanagi flat slab ,1300,1500,D2012,65,100,-954.6666666666666,289.52873586034406,-2454.6666666666665,1500,Ancient,0.0,100.0
(10) Izanagi flat slab ,1300,1500,M2019,65,100,437.0,134.5535828830532,-1063.0,1500,Ancient,29.133333333333333,70.86666666666666
(10) Izanagi flat slab ,1300,1500,V2010,65,100,95.33333333333333,170.36496770821816,-1404.6666666666667,1500,Ancient,6.355555555555554,93.64444444444445
(11) Patagonian Nalé ,250,450,D2012,60,120,1724.3333333333333,92.46741167688334,1274.3333333333333,450,Ancient,100.0,0.0
(11) Patagonian Nalé ,250,450,M2019,60,120,675.3333333333334,130.180216964364,225.33333333333337,450,Ancient,100.0,0.0
(11) Patagonian Nalé ,250,450,V2010,60,120,1085.3333333333333,76.90831482283882,635.3333333333333,450,Ancient,100.0,0.0
(12) South Gondwana,580,800,D2012,185,220,-1007.0,22.19609575278199,-1807.0,800,Ancient,0.0,100.0
(12) South Gondwana,580,800,M2019,185,220,-545.6666666666666,92.64388209098801,-1345.6666666666665,800,Ancient,0.0,100.0
(12) South Gondwana,580,800,V2010,185,220,-721.0,204.99918699025775,-1521.0,800,Ancient,0.0,100.0
(13) East Asia Yanshanian,1250,1600,V2010,140,185,-930.6666666666666,187.4056799803274,-2530.6666666666665,1600,Ancient,0.0,100.0
(13) East Asia Yanshanian,1250,1600,M2019,140,185,-598.6666666666666,60.25685760881403,-2198.6666666666665,1600,Ancient,0.0,100.0
(13) East Asia Yanshanian,1250,1600,D2012,140,185,-1300.6666666666667,116.979580364362,-2900.666666666667,1600,Ancient,0.0,100.0
